a,b,j,H_5,v_2
27,18,7,133272594000,4
27,18,10,87185034000,4
27,18,11,72594601200,4
27,20,4,253383908400,4
27,20,5,236319584400,4
27,20,12,94195213200,4
27,24,4,486476499600,4
27,24,5,458136166320,4
27,24,12,210504435120,4
27,26,2,706897724400,4
27,26,3,681170893200,4
27,26,6,575334738000,4
27,26,7,532540537200,4
27,26,10,392692129200,4
27,26,11,345221989200,4
30,3,1,2210115600,4
30,3,3,1782594000,4
30,3,5,1284850800,4
30,3,7,807534000,4
30,3,9,430019280,4
30,3,11,196218000,4
30,7,1,16017447600,4
30,7,3,13786478640,4
30,7,5,10893565200,4
30,7,7,7762314000,4
30,7,9,4872582000,4
30,7,11,2610946800,4
30,11,1,59607147600,4
30,11,3,53172147600,4
30,11,5,44412519600,4
30,11,7,34334521200,4
30,11,9,24190079760,4
30,11,11,15201925200,4
30,15,1,159821046000,4
30,15,3,145764630000,4
30,15,5,126098456400,4
30,15,7,102661125840,4
30,15,9,77848225200,4
30,15,11,54212122800,4
30,19,1,352186868880,4
30,19,3,326074850640,4
30,19,5,288894013680,4
30,19,7,243564993840,4
30,19,9,193998626640,4
30,19,11,144570404880,4
30,23,1,680918238000,4
30,23,3,637299630000,4
30,23,5,574427725200,4
30,23,7,496554886800,4
30,23,9,409478788080,4
30,23,11,319891532400,4
30,27,1,1198914670800,4
30,27,3,1131321684240,4
30,27,5,1033014020400,4
30,27,7,909825462000,4
30,27,9,769812109200,4
30,27,11,622476162000,4
0,0,2,1440,5
0,0,6,64800,5
0,0,10,32608800,5
2,0,2,36000,5
2,0,3,7200,5
2,0,6,64800,5
2,0,7,554400,5
2,0,10,34682400,5
2,0,11,96112800,5
2,1,1,352800,5
2,1,7,151200,5
2,1,9,7123680,5
3,0,8,2973600,5
3,0,9,11340000,5
3,1,2,352800,5
3,1,6,1440,5
3,1,10,25057440,5
3,3,2,2308320,5
3,3,3,1170720,5
3,3,6,4320,5
3,3,7,-10080,5
3,3,10,11553120,5
3,3,11,45551520,5
4,0,3,70560,5
4,0,7,635040,5
4,0,11,101774880,5
4,1,5,7200,5
4,1,7,131040,5
4,3,3,2368800,5
4,3,5,237600,5
4,3,11,38642400,5
4,4,3,5050080,5
4,4,7,10080,5
4,4,11,27485280,5
5,0,2,332640,5
5,0,3,151200,5
5,0,4,50400,5
5,0,5,7200,5
5,0,6,79200,5
5,0,7,678240,5
5,0,10,38556000,5
5,0,11,104781600,5
5,0,12,256119840,5
5,2,4,756000,5
5,2,5,194400,5
5,2,12,147564000,5
5,4,2,13940640,5
5,4,3,8972640,5
5,4,4,4796640,5
5,4,5,1896480,5
5,4,6,427680,5
5,4,7,30240,5
5,4,10,3710880,5
5,4,11,21811680,5
5,4,12,82455840,5
6,1,1,3088800,5
6,1,7,127200,5
6,1,9,6069600,5
6,3,2,11426400,5
6,3,6,367200,5
6,3,10,6156000,5
6,5,3,27306720,5
6,5,5,8618400,5
6,5,11,10692000,5
7,0,8,3693600,5
7,0,9,13528800,5
7,1,2,3088800,5
7,1,6,64800,5
7,1,10,22932000,5
7,3,2,17344800,5
7,3,3,11584800,5
7,3,6,957600,5
7,3,7,151200,5
7,3,10,5335200,5
7,3,11,25898400,5
7,4,8,30240,5
7,4,9,90720,5
7,5,3,42285600,5
7,5,7,1965600,5
7,5,11,8368800,5
7,6,2,94802400,5
7,6,3,71316000,5
7,6,4,48595680,5
7,6,5,28922400,5
7,6,6,14162400,5
7,6,7,5119200,5
7,6,10,453600,5
7,6,11,4989600,5
7,6,12,28116000,5
8,0,2,1346400,5
8,0,6,136800,5
8,0,10,42835680,5
8,1,5,635040,5
8,1,7,151200,5
8,3,1,33153120,5
8,3,7,493920,5
8,3,9,525600,5
8,4,2,48144096,5
8,4,6,5381856,5
8,4,10,1850976,5
8,5,5,25155360,5
8,5,7,4445280,5
8,7,1,251428320,5
8,7,7,21762720,5
8,7,9,1568160,5
8,8,2,312063840,5
8,8,6,78956640,5
8,8,10,764640,5
9,2,2,16754400,5
9,2,3,11452320,5
9,2,4,6890400,5
9,2,5,3477600,5
9,2,6,1360800,5
9,2,7,352800,5
9,2,10,10504800,5
9,2,11,39952800,5
9,2,12,122623200,5
9,6,4,108813600,5
9,6,5,71388000,5
9,6,12,19254240,5
10,0,2,2751840,5
